"","coefficients"
"intercept",-0.871153397775423
"spread_home",0.0146441768221633
"win_pct_diff",0.0211122655326964
"elo_diff",0.00429643720846662
"SRS_diff",0.039402411056749
"fpi_diff",0.146070179684714
"fei_diff",0.0164367733750585
"sp_plus_diff",0.0544690695920916
"postgame_wp_diff",-0.0168821352866409
"AP_home",0.00350705609466315
"AP_away",-0.0199999999999999
"Pwr_Rk_home",0.0491611280436478
"Pwr_Rk_away",-0.0569046396554165
